Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.762934, 0.036673, 50, 100, 100, 0
Numerical Parameters: NX, NY, ts, delta = 501, 501, 0.8, 0.001 
File written: Tue Aug 20 23:36:45 2024
Comments: 2D 





Ascii values of u and v follow
0 0.196835
0 0.20101
0 0.205313
0 0.209745
0 0.214319
0 0.219037
0 0.223902
0 0.228919
0 0.234093
0 0.239431
0 0.244937
0 0.250617
0 0.256478
0 0.262527
0 0.268768
0 0.275209
0 0.281857
0 0.288719
0 0.295803
0 0.303117
0 0.310668
0 0.318465
0 0.326518
0 0.334834
0 0.343422
0 0.352305
0 0.361475
0 0.370949
0 0.380737
0 0.390853
0 0.401316
0 0.412123
0 0.423295
0 0.434854
0 0.446797
0 0.459144
0 0.471926
0 0.485135
0 0.498796
0 0.512941
0.00107517 0.527551
0.00280064 0.542605
0.00717195 0.55806
0.0186956 0.573731
0.0486279 0.589136
0.120126 0.603272
0.260372 0.614552
0.462516 0.621362
0.666625 0.622903
0.816008 0.619621
0.903594 0.612749
0.949882 0.603518
0.97381 0.592778
0.98629 0.581006
0.992859 0.568463
0.996321 0.555274
0.998132 0.541508
0.999067 0.52718
0.999543 0.512302
0.999779 0.496866
0.999895 0.480852
0.999949 0.464248
0.999973 0.447022
0.999981 0.429158
0.999979 0.410635
0.999969 0.391415
0.999948 0.371476
0.999905 0.350798
0.999818 0.329338
0.999638 0.307075
0.999251 0.283987
0.998386 0.260044
0.996372 0.235256
0.991508 0.20968
0.979427 0.183521
0.949387 0.157285
0.879216 0.132106
0.741436 0.109798
0.539688 0.092294
0.332706 0.0806017
0.180605 0.0742137
0.0925937 0.0716581
0.0472922 0.0714222
0.0245126 0.0724834
0.0128126 0.0742737
0.00659674 0.0765021
0.00325214 0.0790282
0.0012931 0.0817544
0 0.0846564
0 0.0877048
0 0.0908746
0 0.0941711
0 0.0975996
0 0.101166
0 0.104876
0 0.108735
0 0.112751
0 0.11693
0 0.121278
0 0.125804
0 0.130517
0 0.135421
0 0.140526
0 0.145841
0 0.151375
0 0.157137
0 0.163138
0 0.169388
0 0.175903
0 0.182684
0 0.189749
0 0.19711
0 0.20478
0 0.212777
0 0.221107
0 0.229788
0 0.238837
0 0.248276
0 0.258111
0 0.268364
0 0.279053
0 0.290209
0 0.301837
0 0.313962
0 0.326616
0 0.339811
0 0.353575
0 0.367942
0 0.382928
0 0.398564
0 0.414889
0 0.431919
0 0.449692
0 0.468256
0 0.487622
0.0016404 0.507798
0.0045702 0.528728
0.0129756 0.550247
0.0373002 0.571773
0.10341 0.591857
0.25097 0.607892
0.482386 0.616918
0.716622 0.617447
0.872722 0.610448
0.949035 0.598442
0.98047 0.583833
0.992572 0.568245
0.997159 0.552861
0.9989 0.538825
0.999561 0.527423
0.999802 0.519931
0.999862 0.517317
0.571566 0.0872781
0.619666 0.0914098
0.734157 0.10381
0.85135 0.123983
0.929633 0.150377
0.969439 0.180651
0.987009 0.212585
0.994398 0.244686
0.997508 0.276115
0.998849 0.306508
0.999446 0.335715
0.999722 0.363692
0.999853 0.390469
0.999914 0.416074
0.999935 0.440564
0.999914 0.463973
0.999813 0.486358
0.999516 0.507746
0.998712 0.528176
0.996592 0.547633
0.991065 0.566057
0.976781 0.583194
0.940767 0.598426
0.856629 0.61038
0.692212 0.616825
0.456959 0.615469
0.233894 0.605632
0.0956899 0.588999
0.034587 0.568553
0.0121075 0.546818
0.00429294 0.525169
0.00153058 0.504139
0 0.483885
0 0.464457
0 0.445844
0 0.428032
0 0.410964
0 0.394627
0 0.378979
0 0.363982
0 0.349623
0 0.33586
0 0.322681
0 0.310051
0 0.297943
0 0.286346
0 0.275229
0 0.264568
0 0.254355
0 0.244563
0 0.235173
0 0.226167
0 0.217534
0 0.209254
0 0.201308
0 0.193691
0 0.186386
0 0.179376
0 0.172649
0 0.166191
0 0.159998
0 0.154054
0 0.148348
0 0.142872
0 0.137611
0 0.132564
0 0.127717
0 0.123063
0 0.118594
0 0.114301
0 0.110177
0 0.106216
0 0.102411
0 0.0987538
0 0.0952378
0 0.0918613
0 0.0886161
0 0.0854969
0.00137572 0.0825301
0.00339413 0.0797468
0.00694508 0.0771862
0.0134017 0.0749259
0.0253296 0.073105
0.0477926 0.0720309
0.0906477 0.0722185
0.17104 0.0745824
0.308932 0.0804808
0.502934 0.0913622
0.705419 0.107941
0.855546 0.129551
0.937598 0.154441
0.9743 0.180727
0.989361 0.207143
0.995465 0.233045
0.997991 0.258177
0.999074 0.282457
0.999555 0.305866
0.999777 0.328431
0.999884 0.350175
0.999937 0.371125
0.999963 0.391304
0.999974 0.41075
0.999973 0.429492
0.999959 0.447547
0.999922 0.464952
0.999839 0.481728
0.999666 0.497889
0.999313 0.513464
0.998614 0.528457
0.997256 0.542877
0.994664 0.55671
0.989795 0.56991
0.980761 0.582393
0.964132 0.593982
0.933618 0.60437
0.877971 0.613013
0.779926 0.619057
0.624632 0.621346
0.425538 0.61884
0.236997 0.611262
0.10934 0.599483
0.0446485 0.585073
0.0173713 0.569525
0.00673916 0.553781
0.00265568 0.538278
0.000979253 0.523188
0 0.508544
0 0.494392
0 0.480717
0 0.46749
0 0.454717
0 0.442371
0 0.430426
0 0.418886
0 0.407729
0 0.39693
0 0.386495
0 0.376401
0 0.366637
0 0.357185
0 0.348048
0 0.339205
0 0.330648
0 0.322367
0 0.31435
0 0.306584
0 0.299072
0 0.2918
0 0.284758
0 0.277938
0 0.271334
0 0.264937
0 0.258741
0 0.252739
0 0.246923
0 0.241288
0 0.235828
0 0.230537
0 0.225408
0 0.220438
0 0.215619
0 0.210952
0 0.206424
0 0.202033
0 0.197776
0 0.193646
0 0.189642
0 0.185764
0 0.181997
0 0.178343
0 0.174799
0 0.171365
0 0.168028
0 0.164792
0 0.161655
0 0.158608
0 0.155655
0 0.152785
0 0.15
0 0.1473
0 0.144677
0 0.142134
0 0.139663
0 0.137267
0 0.134939
0 0.132682
0 0.130488
0 0.128362
0 0.126297
0 0.124291
0 0.122346
0 0.120456
0 0.118624
0 0.116845
0 0.115119
0 0.113442
0 0.111816
0 0.110238
0 0.108707
0 0.107219
0 0.105778
0 0.104379
0 0.103022
0 0.101706
0 0.10043
0 0.0991923
0 0.0979922
0 0.0968287
0 0.095701
0 0.0946079
0 0.0935491
0 0.0925235
0 0.0915305
0 0.0905691
0 0.0896384
0 0.0887377
0 0.0878668
0 0.0870265
0 0.086213
0 0.0854269
0 0.0846675
0.000938773 0.0839471
0.00132307 0.0832474
0.00156379 0.0825849
0.00210417 0.0819511
0.00248775 0.0813361
0.00297624 0.080758
0.00372664 0.0802096
0.00437268 0.07968
0.00507465 0.0791824
0.0058253 0.0787054
0.00660937 0.0782608
0.0074463 0.0778346
0.00833576 0.0774434
0.00926793 0.077068
0.0102386 0.0767262
0.0112441 0.0764001
0.0122811 0.0761014
0.0133417 0.0758171
0.0144249 0.0755542
0.0155212 0.075322
0.0166262 0.0751009
0.0177287 0.0748994
0.0188207 0.0747258
0.0198905 0.0745608
