Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.860714, 0.1255, 50, 100, 100, 0
Numerical Parameters: NX, NY, ts, delta = 501, 501, 0.8, 0.001 
File written: Wed Mar 20 01:40:22 2024
Comments: 2D 





Ascii values of u and v follow
0.999998 0.274399
0.999998 0.278895
0.999998 0.291784
0.999997 0.31141
0.999996 0.335554
0.999992 0.362082
0.99998 0.389381
0.999945 0.416439
0.999839 0.442729
0.999529 0.467997
0.998635 0.492134
0.996082 0.515074
0.988861 0.536675
0.968815 0.55654
0.916168 0.57364
0.795622 0.585911
0.584398 0.590501
0.335384 0.585471
0.148658 0.571529
0.0551337 0.551708
0.0190709 0.529348
0.00657756 0.506595
0.00230073 0.484385
0.000747383 0.463028
0 0.442581
0 0.423074
0 0.404473
0 0.386735
0 0.369824
0 0.353685
0 0.33829
0 0.323602
0 0.309596
0 0.296225
0 0.283462
0 0.271284
0 0.259667
0 0.248569
0 0.237977
0 0.227868
0 0.218211
0 0.208994
0 0.200185
0 0.191774
0 0.183741
0 0.176065
0 0.168733
0 0.161725
0 0.155027
0 0.148631
0 0.142513
0 0.136668
0 0.131077
0 0.125735
0 0.120623
0 0.115738
0 0.111063
0 0.106593
0 0.102316
0 0.0982263
0 0.0943132
0 0.0905663
0 0.0869821
0 0.0835504
0 0.080267
0 0.0771234
0 0.074112
0 0.0712307
0 0.0684708
0 0.0658261
0 0.0632948
0 0.0608695
0 0.0585446
0 0.0563184
0 0.0541852
0 0.0521404
0 0.0501793
0 0.0483006
0 0.0464995
0 0.0447724
0 0.0431163
0 0.0415271
0 0.0400036
0 0.0385423
0 0.0371401
0 0.0357949
0 0.0345039
0 0.0332649
0 0.0320755
0 0.0309331
0 0.0298371
0 0.0287848
0 0.0277741
0 0.0268035
0 0.0258712
0 0.0249756
0 0.024115
0 0.0232882
0 0.0224935
0 0.0217303
0 0.0209962
0 0.0202904
0 0.0196119
0 0.0189594
0 0.0183317
0 0.0177282
0 0.0171476
0 0.0165895
0 0.0160519
0 0.0155347
0 0.015037
0 0.0145583
0 0.014097
0 0.013653
0.00181633 0.0132793
0.00361632 0.0129621
0.00635534 0.0127495
0.0106608 0.0126759
0.0175809 0.0127954
0.0288609 0.0132375
0.0475882 0.0141716
0.0793967 0.0159218
0.134383 0.0189843
0.22793 0.0241797
0.373142 0.0325553
0.558938 0.0450906
0.739286 0.0620436
0.868694 0.0827017
0.940349 0.105667
0.973929 0.129584
0.98856 0.153517
0.994857 0.176996
0.997613 0.199829
0.998854 0.221934
0.999431 0.243301
0.999708 0.263949
0.999845 0.283886
0.999915 0.303136
0.999951 0.321727
0.99997 0.339688
0.999978 0.357033
0.999979 0.373785
0.999974 0.389969
0.999959 0.405604
0.999931 0.420713
0.999878 0.435318
0.999787 0.449428
0.99963 0.463061
0.999366 0.476232
0.99893 0.488954
0.998217 0.501237
0.997067 0.513086
0.995235 0.5245
0.992349 0.535469
0.987843 0.545969
0.980863 0.555969
0.97011 0.565404
0.953593 0.574175
0.928234 0.582133
0.889265 0.589061
0.829559 0.594641
0.739895 0.59844
0.613151 0.599926
0.455157 0.598622
0.293288 0.594328
0.162959 0.587329
