Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.84, 0.185, 18.1818, 50, 50, 0
Numerical Parameters: NX, NY, ts, delta = 501, 501, 0.8, 0.001 
File written: Tue Apr 16 22:23:16 2024
Comments: 2D 





Ascii values of u and v follow
0 1.5612e-09
0 1.5633e-09
0 1.56582e-09
0 1.56877e-09
0 1.57214e-09
0 1.57594e-09
0 1.58019e-09
0 1.58488e-09
0 1.58999e-09
0 1.59557e-09
0 1.60157e-09
0 1.60803e-09
0 1.61496e-09
0 1.62233e-09
0 1.63018e-09
0 1.6385e-09
0 1.6473e-09
0 1.65658e-09
0 1.66635e-09
0 1.67662e-09
0 1.68739e-09
0 1.69868e-09
0 1.71049e-09
0 1.72282e-09
0 1.7357e-09
0 1.74913e-09
0 1.76311e-09
0 1.77767e-09
0 1.79281e-09
0 1.80855e-09
0 1.82487e-09
0 1.84183e-09
0 1.8594e-09
0 1.87763e-09
0 1.89651e-09
0 1.91607e-09
0 1.9363e-09
0 1.95724e-09
0 1.97891e-09
0 2.0013e-09
0 2.02446e-09
0 2.04838e-09
0 2.0731e-09
0 2.09863e-09
0 2.12499e-09
0 2.15221e-09
0 2.18028e-09
0 2.20927e-09
0 2.23918e-09
0 2.27004e-09
0 2.30186e-09
0 2.33468e-09
0 2.36854e-09
0 2.40344e-09
0 2.43943e-09
0 2.47652e-09
0 2.51478e-09
0 2.55421e-09
0 2.59484e-09
0 2.63673e-09
0 2.6799e-09
0 2.7244e-09
0 2.77026e-09
0 2.81752e-09
0 2.86622e-09
0 2.91641e-09
0 2.96815e-09
0 3.02147e-09
0 3.0764e-09
0 3.13304e-09
0 3.19139e-09
0 3.25157e-09
0 3.31357e-09
0 3.37747e-09
0 3.44337e-09
0 3.51128e-09
0 3.58128e-09
0 3.65346e-09
0 3.72787e-09
0 3.80459e-09
0 3.88371e-09
0 3.96528e-09
0 4.04943e-09
0 4.13619e-09
0 4.22569e-09
0 4.31801e-09
0 4.41325e-09
0 4.51152e-09
0 4.61288e-09
0 4.71748e-09
0 4.8254e-09
0 4.93683e-09
0 5.0518e-09
0 5.1705e-09
0 5.29303e-09
0 5.41956e-09
0 5.55016e-09
0 5.68507e-09
0 5.82438e-09
0 5.96826e-09
